Window,Path,Type,CommitDate
W2,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\DirectoryScanner.java,Production,9/4/2024 17:38
W2,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\Copy.java,Production,9/4/2024 19:25
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\confined\TestClasses.java,Production,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\LegacyXmlResultFormatter.java,Production,2023-08-13 21:42:57 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\MagicNames.java,Production,2023-08-16 16:09:07 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\example\junitlauncher\jupiter\SharedDataAccessorTest1.java,Test,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\junitlauncher\JUnitLauncherTaskTest.java,Test,2023-08-13 21:42:57 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\junitlauncher\LegacyXmlResultFormatterTest.java,Test,2023-08-12 17:04:57 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\taskdefs\JarTest.java,Test,2023-08-11 18:12:11 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java,Test,2023-08-10 21:28:02 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\example\junitlauncher\jupiter\JupiterSampleTest.java,Test,2023-08-12 15:59:48 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\allow.java,Production,2023-08-10 15:42:58 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\confined\JUnitLauncherTask.java,Production,2023-08-16 13:25:48 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\Java.java,Production,2023-08-10 21:28:02 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\types\PermissionsTest.java,Test,2023-08-10 21:28:02 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\util\SecurityManagerUtil.java,Production,2023-08-16 16:09:07 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\confined\TestDefinition.java,Production,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\zip\ZipOutputStream.java,Production,2023-08-09 18:37:32 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\example\junitlauncher\FooBarData.java,Test,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\util\optional\NoExitSecurityManager.java,Production,2023-08-16 16:09:07 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\junit\XMLResultAggregatorTest.java,Test,2023-08-10 21:28:02 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\ExecuteJava.java,Production,2023-08-16 16:09:07 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\Recorder.java,Production,2023-08-12 12:34:29 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\confined\ForkDefinition.java,Production,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\apache\tools\ant\taskdefs\JavaTest.java,Test,2023-08-16 16:47:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\example\junitlauncher\jupiter\JupiterDynamicTests.java,Test,2023-08-13 21:42:57 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\tests\junit\org\example\junitlauncher\jupiter\SharedDataAccessorTest2.java,Test,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\confined\SingleTestClass.java,Production,2023-08-12 20:04:47 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\types\Permissions.java,Production,2023-08-16 16:09:07 +0530
W2,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\ConstantPoolEntry.java,Production,2023-09-12 12:12:45 +0530
W2,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\PathConvert.java,Production,2023-09-08 07:44:15 +0530
W2,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\DynamicCPInfo.java,Production,2023-09-12 12:12:45 +0530
W1,C:\Users\Muhammad Sohaib Arif\repos\jant\src\main\allow.java,Production,2023-01-04 14:44:56 +0530
